"events","avg_visibility","nr_of_events"
Fog-Snow,4.50,4
Fog-Rain-Snow,5.00,1
Fog,6.30,219
Rain-Snow-Thunderstorm,7.00,1
Fog-Rain,7.21,66
Fog-Rain-Thunderstorm,8.00,1
Snow,9.29,14
Rain-Hail-Thunderstorm,9.50,4
Rain-Snow,9.73,33
Rain-Thunderstorm,9.83,72
Rain,9.99,853
Thunderstorm,11.00,2
"",11.45,2391
Rain-Hail,14.00,1
