"CET","min_temperatureC","mean_temperatureC","max_temperatureC","max_temperatureC - min_temperatureC"
"2012-08-10",20,30,41,21
"2001-12-17",-10,-1,9,19
"2005-01-28",-10,-1,8,18
"2001-12-16",-10,-2,5,15
"2005-01-27",-9,-3,4,13
"2001-12-22",-8,-3,3,11
"1997-07-31",28,32,36,8
"2010-01-10",-6,-3,0,6
